2020-03-04 13:28:50.524623;5D6E5473
2020-03-04 13:30:42.455437;30D219A4
2020-03-04 13:31:08.259070;CEB32261
2020-03-04 13:31:13.047079;5E5DDB9
2020-03-04 13:31:19.817175;30D219A4
2020-03-04 13:31:50.421005;30D219A4
2020-03-04 13:31:53.894681;30D219A4
2020-03-04 13:32:00.078943;30D219A4
2020-03-04 13:32:06.080041;5E5DDB9
2020-03-04 13:32:24.941157;5D6E5473
2020-03-04 13:32:42.766226;5D6E5473
2020-03-04 13:32:56.748813;30D219A4
2020-03-04 13:32:58.186304;30D219A4
2020-03-04 13:32:59.431553;30D219A4
2020-03-04 13:33:00.550205;30D219A4
2020-03-04 13:40:48.973334;5E5DDB9
2020-03-04 13:50:24.435106;5D6E5473
